Date,Open,High,Low,Close,Volume
2024-08-09,76.0,91.19999694824219,76.0,91.19999694824219,525179173
2024-08-12,97.0,109.44000244140625,95.0,109.44000244140625,210295560
2024-08-13,120.9800033569336,129.39999389648438,105.20999908447266,108.16999816894531,365044065
2024-08-14,110.0,113.4000015258789,100.36000061035156,110.9000015258789,160539788
2024-08-16,121.0,133.0800018310547,117.0,133.0800018310547,338763140
2024-08-19,139.38999938964844,146.3800048828125,136.0,146.3800048828125,192359284
2024-08-20,153.8000030517578,157.39999389648438,132.64999389648438,137.7899932861328,309136273
2024-08-21,143.0,143.5,135.22000122070312,138.0500030517578,113015397
2024-08-22,139.0,139.0,126.05000305175781,131.32000732421875,107214397
2024-08-23,131.0,132.47000122070312,125.55000305175781,126.26000213623047,58941772
2024-08-26,123.43000030517578,132.6999969482422,118.5999984741211,125.30000305175781,162419382
2024-08-27,126.0,131.0,125.75,127.52999877929688,62973982
2024-08-28,128.6999969482422,129.19000244140625,125.0,125.69000244140625,36055940
2024-08-29,125.94999694824219,126.98999786376953,119.5999984741211,120.27999877929688,32236138
2024-08-30,121.30000305175781,122.97000122070312,117.11000061035156,117.93000030517578,39363549
2024-09-02,118.5,119.94999694824219,114.0,114.93000030517578,32100435
2024-09-03,114.0,119.30000305175781,112.66000366210938,113.48999786376953,34112725
2024-09-04,112.55000305175781,115.0,109.80000305175781,110.80000305175781,30257994
2024-09-05,111.36000061035156,119.16999816894531,110.33000183105469,115.16000366210938,88498741
2024-09-06,111.0999984741211,115.05000305175781,109.0,109.56999969482422,58560417
2024-09-09,110.0,116.19999694824219,103.5,114.58000183105469,93620725
2024-09-10,114.80000305175781,119.0,113.38999938964844,115.5,51113502
2024-09-11,115.48999786376953,116.5,109.86000061035156,113.0199966430664,44903854
2024-09-12,114.5999984741211,115.48999786376953,111.44000244140625,112.63999938964844,33770388
2024-09-13,112.69999694824219,114.25,111.0,111.58000183105469,18101301
2024-09-16,112.0,112.18000030517578,106.9000015258789,107.5999984741211,27173576
2024-09-17,112.94999694824219,118.36000061035156,110.26000213623047,117.95999908447266,163398289
2024-09-18,118.0,123.9000015258789,116.0999984741211,116.94999694824219,118683852
2024-09-19,116.69999694824219,117.48999786376953,109.5,111.66999816894531,61441099
2024-09-20,113.0,113.94999694824219,110.4000015258789,110.98999786376953,26659658
2024-09-23,112.0,112.4000015258789,107.5,108.1500015258789,30248266
2024-09-24,108.1500015258789,109.9000015258789,103.41999816894531,104.05000305175781,52943938
2024-09-25,105.37000274658203,107.5,101.4000015258789,103.0199966430664,54743574
2024-09-26,105.79000091552734,106.33999633789062,102.30000305175781,103.48999786376953,31139206
2024-09-27,104.5999984741211,104.87000274658203,101.0,102.18000030517578,36452821
2024-09-30,101.70999908447266,102.37999725341797,97.83999633789062,99.62000274658203,51879596
2024-10-01,100.0,103.48999786376953,99.1500015258789,102.62000274658203,61227119
2024-10-03,100.0,102.19000244140625,99.0,99.26000213623047,27994702
2024-10-04,100.0,100.0,95.38999938964844,99.05000305175781,43646598
2024-10-07,99.9000015258789,100.0,89.55000305175781,90.81999969482422,90107948
2024-10-08,86.0,96.77999877929688,86.0,95.41000366210938,113352923
2024-10-09,95.31999969482422,98.69000244140625,93.79000091552734,95.77999877929688,57074037
2024-10-10,94.0,95.16999816894531,90.0,90.79000091552734,49223674
2024-10-11,91.0,92.25,89.66000366210938,90.19999694824219,34321755
2024-10-14,90.0,90.5,87.1500015258789,87.45999908447266,36287243
2024-10-15,88.79000091552734,91.87000274658203,88.6500015258789,89.51000213623047,56875452
2024-10-16,90.0,90.38999938964844,88.62000274658203,89.16999816894531,20025845
2024-10-17,89.38999938964844,90.0,87.19999694824219,87.56999969482422,16578506
2024-10-18,85.75,88.0,85.0199966430664,86.94999694824219,25522239
2024-10-21,87.19000244140625,87.4800033569336,81.0,81.6500015258789,34971218
2024-10-22,83.9800033569336,85.29000091552734,80.5,81.08000183105469,41665695
2024-10-23,81.19999694824219,83.0,79.1500015258789,81.76000213623047,33119468
2024-10-24,81.80999755859375,82.0999984741211,79.7699966430664,80.0,17908438
2024-10-25,80.05000305175781,80.48999786376953,76.7300033569336,77.29000091552734,22420692
2024-10-28,77.98999786376953,80.5,77.12000274658203,77.58999633789062,31800879
2024-10-29,77.69999694824219,78.5,74.83999633789062,76.31999969482422,29301711
2024-10-30,76.31999969482422,80.66999816894531,75.08000183105469,79.83000183105469,47417740
2024-10-31,80.0,83.25,79.16000366210938,80.87999725341797,34098220
2024-11-01,82.38999938964844,83.6500015258789,82.01000213623047,82.83999633789062,7901472
2024-11-04,84.44999694824219,84.80000305175781,79.61000061035156,80.83999633789062,30671468
2024-11-05,80.04000091552734,80.29000091552734,73.83999633789062,74.18000030517578,89679787
2024-11-06,75.41000366210938,75.43000030517578,73.5,74.4000015258789,51882572
2024-11-07,75.0,78.25,74.06999969482422,74.55999755859375,55664096
2024-11-08,74.91999816894531,74.98999786376953,72.5999984741211,72.72000122070312,30134626
2024-11-11,72.72000122070312,77.5999984741211,70.55000305175781,74.33000183105469,98999523
2024-11-12,75.19999694824219,76.6500015258789,73.70999908447266,74.29000091552734,36932621
2024-11-13,73.80000305175781,74.19000244140625,70.55000305175781,70.94999694824219,29804499
2024-11-14,71.04000091552734,71.87999725341797,69.54000091552734,70.12000274658203,34166367
2024-11-18,70.0,70.9000015258789,68.0999984741211,68.93000030517578,38573962
2024-11-19,68.98999786376953,71.18000030517578,68.98999786376953,69.31999969482422,22429780
2024-11-21,69.5,69.69999694824219,66.86000061035156,67.20999908447266,29121532
2024-11-22,67.20999908447266,69.73999786376953,66.66000366210938,69.13999938964844,28730513
2024-11-25,70.55000305175781,72.30000305175781,69.30000305175781,69.58000183105469,21405109
2024-11-26,69.58000183105469,74.80000305175781,69.58000183105469,73.41999816894531,57391461
2024-11-27,77.69999694824219,88.0999984741211,75.26000213623047,88.0999984741211,244701933
2024-11-28,90.6500015258789,94.5,88.7699966430664,92.98999786376953,186599196
2024-11-29,92.1500015258789,92.48999786376953,86.69999694824219,87.41000366210938,76161884
2024-12-02,84.11000061035156,94.47000122070312,81.19999694824219,93.29000091552734,168055394
