Date,Open,High,Low,Close,Volume
2023-08-21,261.592076341765,261.64198630571326,248.5124664306641,248.5124664306641,74715306
2023-08-22,236.0818634033203,236.0818634033203,236.0818634033203,236.0818634033203,7281398
2023-08-23,224.30023193359372,224.30023193359372,224.30023193359372,224.30023193359372,4289046
2023-08-24,213.11767578125,213.11767578125,213.11767578125,213.11767578125,27673350
2023-08-25,202.48425042804325,223.751090108265,202.48425042804325,214.16603088378903,281040100
2023-08-28,213.0178301776218,221.903967202166,207.226857457848,210.8212432861328,87522120
2023-08-29,211.66993379105776,221.3548286580761,206.92732914243732,219.90708923339844,92693420
2023-08-30,224.54983419842816,230.88995361328125,224.35014863690407,230.88995361328125,21403170
2023-08-31,241.32368956557008,242.42198304838664,230.79011201685617,233.13645935058597,124122100
2023-09-01,234.63411956193613,244.768310546875,233.8353620653572,244.768310546875,39481020
2023-09-04,254.9025151512389,266.534385890434,248.6123208537168,253.05538940429688,99246730
2023-09-05,256.599869266789,259.59519848002003,252.606096982481,254.6529083251953,47127070
2023-09-06,246.61543145409348,259.3954902078186,245.66691361089175,252.45632934570312,225413100
2023-09-07,251.6076598150584,256.89939602790463,250.85882749418025,251.4079742431641,43856830
2023-09-08,253.60454364800165,254.60298673323,249.1115497644741,252.8057861328125,36090000
2023-09-11,256.5499597414651,257.29879204605777,249.6107681975475,249.76052856445312,24982850
2023-09-12,251.35804350276075,251.60765427088663,240.5249300720847,243.8697204589844,39500710
2023-09-13,244.4188634441402,247.41419261567373,236.2316334222884,239.82601928710935,27810990
2023-09-14,241.6232165602431,244.16924936852476,240.87438427751505,242.17236328125,14055230
2023-09-15,243.42042615271447,244.2690936303983,237.27999206460683,239.0272674560547,27416100
2023-09-18,239.62632978679895,240.47501246547327,231.7386358586629,232.8369140625,24694410
2023-09-20,230.04128227006535,231.63879731105115,228.6434680354772,229.29244995117188,18317600
2023-09-21,229.64191009345632,235.2331974767013,226.4468952609017,227.29556274414065,33101550
2023-09-22,227.59508812090792,231.8883962436854,225.99758839652372,227.44532775878903,38327550
2023-09-25,229.64189896775537,230.49058164490975,227.14579137027977,229.3922882080078,13392150
2023-09-26,230.74019735472655,231.33925404995327,229.64190389426292,230.0412750244141,8058261
2023-09-27,230.84002930283367,230.84002930283367,226.64657155455748,226.99603271484372,10984320
2023-09-28,227.64501948182223,228.49370218355244,224.4000795111384,224.6996154785156,9143582
2023-09-29,225.5482757181375,232.53737696951,224.64968307983085,230.84002685546875,12411230
2023-10-03,231.1395690282182,233.5358262848219,230.1910511656056,231.0397186279297,13185430
